,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,D1,A1_1,A2_1,A3_1,A4_1,A5_1,A6_1,A7_1,A8_1,A9_1,A10_1,A11_1,A12_1,A13_1,A14_1,A15_1,A16_1,A17_1,A18_1,A19_1,A20_1,A21_1,A22_1,A23_1,A24_1,A25_1,A26_1,A27_1,A28_1
0,Start Date,End Date,Response Type,anonymized,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,anonymized,anonymized,anonymized,External Data Reference,anonymized,anonymized,Distribution Channel,User Language,Are you a native Czech speaker?,"Focus on the consonant in the audio. How soft does it sound? 

 



0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?






 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?","Focus on the consonant in the audio. How soft does it sound?








 0 = not soft at all ... 100 = softest - How soft does the audio sound?"
1,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",anonymized,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}",anonymized,anonymized,anonymized,"{""ImportId"":""externalDataReference""}",anonymized,anonymized,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}"
2,2026-05-10 17:11:47,2026-05-10 17:13:19,1,anonymized,100,91,1,2026-05-10 17:13:19,R_4JE55jXT7iFK35L,anonymized,anonymized,anonymized,,anonymized,anonymized,preview,EN,-99,-99,-99,-99,-99,-99,-99,36,-99,-99,-99,-99,-99,-99,-99,-99,38,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,2026-05-10 18:20:56,2026-05-10 18:26:17,0,anonymized,100,320,1,2026-05-10 18:26:18,R_9ZV8QTRGmaUyEur,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,2,53,14,48,0,45,20,38,50,14,64,37,52,12,60,65,81,-99,23,87,87,80,75,68,77,-99,19,61,77
4,2026-05-10 18:37:15,2026-05-10 18:43:13,0,anonymized,100,358,1,2026-05-10 18:43:14,R_9M4FuHomfPqmXye,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,2,87,69,63,33,52,43,40,83,37,76,41,88,41,21,18,35,49,24,61,63,22,38,71,70,65,86,95,95
5,2026-05-10 20:37:20,2026-05-10 20:41:07,0,anonymized,100,227,1,2026-05-10 20:41:08,R_2IAkk3oWppn81Pi,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,1,11,5,3,72,71,94,5,38,46,2,25,74,77,8,25,84,54,65,57,39,100,83,24,61,82,68,16,7
6,2026-05-10 23:17:32,2026-05-10 23:19:57,0,anonymized,100,145,1,2026-05-10 23:19:57,R_4s60BG6GhZjHfPK,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,2,96,37,19,20,18,15,15,58,11,54,20,48,47,0,35,20,21,30,91,54,69,73,75,87,21,52,84,43
7,2026-05-11 00:25:04,2026-05-11 00:30:53,0,anonymized,100,348,1,2026-05-11 00:30:53,R_8K6I0XRg5FX2Zoa,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,1,60,70,60,30,80,40,60,70,50,-99,20,80,40,20,-99,30,30,30,80,80,40,80,30,-99,30,20,60,-99
8,2026-05-11 02:58:45,2026-05-11 03:04:25,0,anonymized,100,339,1,2026-05-11 03:04:26,R_2v08Mmf5IYn3Y0c,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,1,63,40,26,10,70,40,10,90,40,50,30,66,48,25,16,30,30,21,72,70,80,70,12,73,52,25,85,65
9,2026-05-11 04:29:47,2026-05-11 04:32:49,0,anonymized,100,181,1,2026-05-11 04:32:50,R_8Dd9DBDZfMDFqGD,anonymized,anonymized,anonymized,,anonymized,anonymized,anonymous,EN,2,40,52,39,21,50,30,30,50,30,60,20,49,41,30,30,50,30,21,100,50,90,49,60,71,61,50,49,81
